	XPS_UPS_18Jan2022/P3HT/BBL/grounded_Au_sub/1/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
1.12	4308	22663.30911
1.1	4127	22663.68744
1.08	3992	22664.06576
1.06	3857	22664.44407
1.04	3579	22664.82235
1.02	3438	22665.20062
1	3285	22665.57888
0.98	3179	22665.95712
0.96	2890	22666.33535
0.94	2676	22666.71356
0.92	2527	22667.09175
0.9	2276	22667.46993
0.88	2065	22667.84809
0.86	1926	22668.22624
0.84	1718	22668.60437
0.82	1597	22668.98249
0.8	1345	22669.36059
0.78	1187	22669.73868
0.76	1045	22670.11675
0.74	945	22670.4948
0.72	818	22670.87284
0.7	695	22671.25086
0.68	614	22671.62887
0.66	526	22672.00686
0.64	435	22672.38484
0.62	423	22672.7628
0.6	358	22673.14075
0.58	325	22673.51868
0.56	320	22673.89659
0.54	317	22674.27449
0.52	301	22674.65238
0.5	279	22675.03024
0.48	257	22675.4081
0.46	284	22675.78593
0.44	232	22676.16376
0.42	231	22676.54156
0.4	262	22676.91935
0.38	229	22677.29713
0.36	212	22677.67489
0.34	223	22678.05263
0.32	208	22678.43036
0.3	212	22678.80807
0.28	217	22679.18577
0.26	211	22679.56345
0.24	186	22679.94112
0.22	185	22680.31877
0.2	186	22680.6964
0.18	186	22681.07402
0.16	187	22681.45163
0.14	175	22681.82921
0.12	186	22682.20679
0.1	165	22682.58434
0.08	166	22682.96189
0.06	164	22683.33941
0.04	160	22683.71692
0.02	171	22684.09442
0	147	22684.4719
-0.02	173	22684.84936
-0.04	161	22685.22681
-0.06	164	22685.60424
-0.08	175	22685.98166
-0.1	168	22686.35906
-0.12	170	22686.73645
-0.14	157	22687.11382
-0.16	147	22687.49117
-0.18	164	22687.86851
-0.2	162	22688.24584
-0.22	162	22688.62314
-0.24	160	22689.00044
-0.26	145	22689.37771
-0.28	170	22689.75497
-0.3	148	22690.13222
-0.32	145	22690.50945
-0.34	171	22690.88667
-0.36	124	22691.26386
-0.38	180	22691.64105
-0.4	145	22692.01822
-0.42	148	22692.39537
-0.44	139	22692.77251
-0.46	143	22693.14963
-0.48	140	22693.52673
-0.5	145	22693.90382
-0.52	143	22694.2809
-0.54	139	22694.65796
-0.56	121	22695.035
-0.58	127	22695.41203
-0.6	128	22695.78904
-0.62	132	22696.16603
-0.64	116	22696.54302
-0.66	122	22696.91998
-0.68	115	22697.29693
-0.7	119	22697.67386
-0.72	129	22698.05078
-0.74	136	22698.42769
-0.76	109	22698.80457
-0.78	137	22699.18144
-0.8	133	22699.5583
-0.82	128	22699.93514
-0.84	113	22700.31197
-0.86	103	22700.68877
-0.88	103	22701.06557
-0.9	105	22701.44235
-0.92	113	22701.81911
-0.94	108	22702.19585
-0.96	95	22702.57259
-0.98	107	22702.9493
-1	82	22703.326
