	XPS_UPS_18Jan2022/P3HT/Au/1/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
1.66	6602	22653.08824
1.64	6716	22653.467
1.62	6714	22653.84573
1.6	6785	22654.22445
1.58	6701	22654.60316
1.56	6782	22654.98185
1.54	6735	22655.36052
1.52	6691	22655.73918
1.5	6777	22656.11783
1.48	6734	22656.49645
1.46	6630	22656.87507
1.44	6657	22657.25366
1.42	6603	22657.63224
1.4	6746	22658.01081
1.38	6712	22658.38936
1.36	6489	22658.7679
1.34	6533	22659.14642
1.32	6456	22659.52492
1.3	6465	22659.90341
1.28	6416	22660.28188
1.26	6365	22660.66034
1.24	6269	22661.03878
1.22	6234	22661.41721
1.2	6372	22661.79562
1.18	6262	22662.17402
1.16	6211	22662.5524
1.14	6135	22662.93076
1.12	5897	22663.30911
1.1	5760	22663.68744
1.08	5705	22664.06576
1.06	5657	22664.44407
1.04	5590	22664.82235
1.02	5329	22665.20062
1	5152	22665.57888
0.98	5113	22665.95712
0.96	4911	22666.33535
0.94	4722	22666.71356
0.92	4597	22667.09175
0.9	4409	22667.46993
0.88	4204	22667.84809
0.86	4228	22668.22624
0.84	3921	22668.60437
0.82	3732	22668.98249
0.8	3492	22669.36059
0.78	3327	22669.73868
0.76	3060	22670.11675
0.74	2845	22670.4948
0.72	2729	22670.87284
0.7	2445	22671.25086
0.68	2246	22671.62887
0.66	2035	22672.00686
0.64	1805	22672.38484
0.62	1647	22672.7628
0.6	1474	22673.14075
0.58	1256	22673.51868
0.56	1182	22673.89659
0.54	1040	22674.27449
0.52	928	22674.65238
0.5	807	22675.03024
0.48	724	22675.4081
0.46	617	22675.78593
0.44	525	22676.16376
0.42	507	22676.54156
0.4	444	22676.91935
0.38	395	22677.29713
0.36	405	22677.67489
0.34	346	22678.05263
0.32	319	22678.43036
0.3	327	22678.80807
0.28	299	22679.18577
0.26	285	22679.56345
0.24	270	22679.94112
0.22	261	22680.31877
0.2	245	22680.6964
0.18	252	22681.07402
0.16	250	22681.45163
0.14	224	22681.82921
0.12	221	22682.20679
0.1	262	22682.58434
0.08	243	22682.96189
0.06	232	22683.33941
0.04	229	22683.71692
0.02	228	22684.09442
0	214	22684.4719
