	XPS_UPS_18Jan2022/BBL/Au/2/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
15.14	223036.6667	22394.3522
15.13	222823.3333	22394.54665
15.12	221463.3333	22394.7411
15.11	220523.3333	22394.93555
15.1	220216.6667	22395.12999
15.09	218570	22395.32443
15.08	218546.6667	22395.51887
15.07	218440	22395.7133
15.06	216916.6667	22395.90773
15.05	216646.6667	22396.10215
15.04	215993.3333	22396.29657
15.03	214790	22396.49099
15.02	214010	22396.6854
15.01	212436.6667	22396.87981
15	213130	22397.07422
14.99	212313.3333	22397.26862
14.98	212156.6667	22397.46302
14.97	211250	22397.65742
14.96	209920	22397.85181
14.95	208993.3333	22398.0462
14.94	209650	22398.24058
14.93	208703.3333	22398.43496
14.92	206133.3333	22398.62934
14.91	205670	22398.82371
14.9	204990	22399.01808
14.89	204456.6667	22399.21245
14.88	204523.3333	22399.40681
14.87	202660	22399.60117
14.86	202200	22399.79552
14.85	201266.6667	22399.98987
14.84	200696.6667	22400.18422
14.83	199856.6667	22400.37856
14.82	200423.3333	22400.5729
14.81	198440	22400.76724
14.8	198936.6667	22400.96157
14.79	197040	22401.1559
14.78	197370	22401.35023
14.77	195160	22401.54455
14.76	194650	22401.73887
14.75	194123.3333	22401.93318
14.74	193296.6667	22402.12749
14.73	191230	22402.3218
14.72	191703.3333	22402.51611
14.71	192063.3333	22402.7104
14.7	191340	22402.9047
14.69	190116.6667	22403.09899
14.68	189503.3333	22403.29328
14.67	188446.6667	22403.48757
14.66	186873.3333	22403.68185
14.65	187360	22403.87613
14.64	186370	22404.0704
14.63	185926.6667	22404.26467
14.62	184943.3333	22404.45894
14.61	184250	22404.6532
14.6	182916.6667	22404.84746
14.59	182943.3333	22405.04172
14.58	181290	22405.23597
14.57	182453.3333	22405.43022
14.56	181203.3333	22405.62446
14.55	179770	22405.8187
14.54	179966.6667	22406.01294
14.53	180170	22406.20718
14.52	178826.6667	22406.40141
14.51	177313.3333	22406.59563
14.5	177483.3333	22406.78986
14.49	175923.3333	22406.98407
14.48	176210	22407.17829
14.47	174990	22407.3725
14.46	176366.6667	22407.56671
14.45	174340	22407.76091
14.44	173276.6667	22407.95511
14.43	172736.6667	22408.14931
14.42	172486.6667	22408.34351
14.41	171000	22408.5377
14.4	170946.6667	22408.73188
14.39	171120	22408.92606
14.38	169630	22409.12024
14.37	169870	22409.31442
14.36	168646.6667	22409.50859
14.35	168866.6667	22409.70276
14.34	168063.3333	22409.89692
14.33	167946.6667	22410.09108
14.32	167770	22410.28524
14.31	166846.6667	22410.47939
14.3	165376.6667	22410.67354
14.29	164950	22410.86769
14.28	164526.6667	22411.06183
14.27	163823.3333	22411.25597
14.26	162896.6667	22411.4501
14.25	163730	22411.64423
14.24	162163.3333	22411.83836
14.23	161446.6667	22412.03248
14.22	161500	22412.2266
